Month,Price,CPI
Sep 2022,24.34,315.033
Aug 2022,24.81,313.608
Jul 2022,24.18,313.415
Jun 2022,23.81,314.072
May 2022,21.46,310.649
Apr 2022,21.07,308.302
Mar 2022,20.88,306.679
Feb 2022,20.54,302.164
Jan 2022,19.82,301.209
Dec 2021,19.41,297.925
Nov 2021,18.88,296.79
Oct 2021,19.87,294.961
Sep 2021,21.48,292.209
Aug 2021,21.28,291.333
Jul 2021,20.87,290.89
Jun 2021,20.18,289.218
May 2021,18.6,287.62
Apr 2021,19.05,285.808
Mar 2021,17.94,282.648
Feb 2021,18.65,281.347
Jan 2021,17.88,280.178
Dec 2020,17.26,279.56
Nov 2020,18.38,280.102
Oct 2020,18.82,279.947
Sep 2020,19.77,279.366
Aug 2020,19.95,280.116
Jul 2020,19.12,279.899
Jun 2020,18.64,278.121
May 2020,16.73,276.842
Apr 2020,16.08,275.853
Mar 2020,16.22,276.589
Feb 2020,16.87,278.657
Jan 2020,16.44,277.755
Dec 2019,16.05,275.553
Nov 2019,17.31,277.239
Oct 2019,16.25,278.075
Sep 2019,18.84,276.054
Aug 2019,18.46,274.579
Jul 2019,18.41,274.682
Jun 2019,18.36,274.38
May 2019,15.98,274.479
Apr 2019,14.9,273.945
Mar 2019,15.48,271.311
Feb 2019,15.99,269.608
Jan 2019,15.5,269.468
Dec 2018,16.11,267.631
Nov 2018,16.4,268.56
Oct 2018,16.11,269.482
Sep 2018,17.41,268.032
Aug 2018,18.55,266.665
Jul 2018,18.3,266.007
Jun 2018,17.72,265.522
May 2018,15.99,266.148
Apr 2018,14.34,265.095
Mar 2018,15.42,264.158
Feb 2018,15.46,263.012
Jan 2018,15.49,261.235
Dec 2017,15.2,259.220
Nov 2017,15.82,259.135
Oct 2017,16.01,258.883
Sep 2017,17.83,257.890
Aug 2017,17.57,256.739
Jul 2017,17.25,256.023
Jun 2017,17.28,255.275
May 2017,15.38,255.674
Apr 2017,13.02,254.971
Mar 2017,15.38,254.525
Feb 2017,15.26,253.815
Jan 2017,15.02,252.373
Dec 2016,14.8,250.189
Nov 2016,14.91,250.185
Oct 2016,14.12,251.098
Sep 2016,16.6,250.145
Aug 2016,17.07,249.7
Jul 2016,16.85,249.784
Jun 2016,16.14,249.789
May 2016,14.86,249.554
Apr 2016,12.6,248.368
Mar 2016,14.26,247.873
Feb 2016,14.45,247.113
Jan 2016,14.67,247.155
Dec 2015,14.41,245.357
Nov 2015,15.03,245.711
Oct 2015,15.62,245.812
Sep 2015,17.36,245.431
Aug 2015,17.19,246.328
Jul 2015,17.31,247.066
Jun 2015,16.12,245.459
May 2015,14.76,246.093
Apr 2015,12.64,243.569
Mar 2015,14.22,243.738
Feb 2015,14.3,241.297
Jan 2015,14.55,239.724
Dec 2014,14.46,240.475
Nov 2014,15.16,241.753
Oct 2014,15.36,243.341
Sep 2014,17.3,243.623
Aug 2014,17.25,243.566
Jul 2014,17.05,243.727
Jun 2014,15.99,243.528
May 2014,14.47,243.362
Apr 2014,11.74,242.437
Mar 2014,13.59,242.491
Feb 2014,13.65,241.059
Jan 2014,13.86,239.857
Dec 2013,13.23,238.742
Nov 2013,14.02,238.677
Oct 2013,14.64,239.940
Sep 2013,15.66,239.611
Aug 2013,15.66,239.219
Jul 2013,15.78,238.920
Jun 2013,15.84,239.223
May 2013,13.8,239.346
Apr 2013,12.98,239.043
Mar 2013,12.84,239.995
Feb 2013,12.98,239.753
Jan 2013,13.03,238.015
Dec 2012,12.67,236.042
Nov 2012,12.88,237.675
Oct 2012,13.29,240.111
Sep 2012,15.51,238.104
Aug 2012,15.2,237.222
Jul 2012,14.26,235.776
Jun 2012,14.67,236.025
May 2012,12.87,237.032
Apr 2012,12.37,236.866
Mar 2012,12.31,236.941
Feb 2012,12.46,234.537
Jan 2012,12.74,233.411
Dec 2011,12.03,231.567
Nov 2011,12.52,232.731
Oct 2011,13.24,233.049
Sep 2011,13.97,233.022
Aug 2011,14.23,231.833
Jul 2011,14.64,231.303
Jun 2011,13.96,232.328
May 2011,12.64,233.367
Apr 2011,12.09,233.319
Mar 2011,11.91,232.241
Feb 2011,12.21,229.729
Jan 2011,12.4,228.652
Dec 2010,12.17,226.639
Nov 2010,12.39,225.941
Oct 2010,13.09,226.794
Sep 2010,14.32,226.048
Aug 2010,14.28,226.373
Jul 2010,14.39,225.991
Jun 2010,13.91,225.877
May 2010,12.66,226.483
Apr 2010,11.79,225.916
Mar 2010,12.18,225.483
Feb 2010,11.83,224.620
Jan 2010,12.29,224.61
Dec 2009,12.21,223.643
Nov 2009,11.36,224.317
Oct 2009,13.23,225.264
Sep 2009,14.72,225.226
Aug 2009,14.91,224.507
Jul 2009,15,224.010
Jun 2009,14.13,223.906
May 2009,13.16,222.522
Apr 2009,12.17,221.693
Mar 2009,12.19,221.376
Feb 2009,12.26,221.439
Jan 2009,12.33,220.719
Dec 2008,11.64,219.620
Nov 2008,12.48,222.229
Oct 2008,12.47,226.159
Sep 2008,13.32,227.449
Aug 2008,14.07,228.484
Jul 2008,13.62,229.886
Jun 2008,13.67,229.033
May 2008,12.01,226.651
Apr 2008,11.23,224.625
Mar 2008,11.46,223.606
Feb 2008,11.55,221.431
Jan 2008,11.55,220.918
Dec 2007,11.97,219.373
Nov 2007,12.29,219.943
Oct 2007,12.61,218.696
Sep 2007,13.85,217.697
Aug 2007,13.99,217.33
Jul 2007,14.08,217.454
Jun 2007,13.66,217.273
May 2007,12.24,218.596
Apr 2007,11.74,217.845
Mar 2007,11.89,216.5
Feb 2007,11.98,214.760
Jan 2007,12.42,212.584
Dec 2006,12.14,210.6
Nov 2006,12.38,211.1
Oct 2006,12.16,211.4
Sep 2006,13.85,212.9
Aug 2006,13.96,211.9
Jul 2006,15.17,211.4
Jun 2006,13.9,211.1
May 2006,12.31,212.4
Apr 2006,12.04,210.5
Mar 2006,11.69,208.5
Feb 2006,11.72,207.5
Jan 2006,11.25,206.0
Dec 2005,11.15,203.9
Nov 2005,11.14,205.6
Oct 2005,11.27,206.9
Sep 2005,12.29,205.8
Aug 2005,12.7,203.1
Jul 2005,13.16,201.4
Jun 2005,12.5,200.7
May 2005,11.19,201.5
Apr 2005,10.91,201.1
Mar 2005,10.44,199.2
Feb 2005,11.21,197.4
Jan 2005,10.85,195.4
Dec 2004,10.08,195.2
Nov 2004,11.26,196.9
Oct 2004,11.48,196.3
Sep 2004,11.97,194.5
Aug 2004,12.16,193.1
Jul 2004,12.39,193.4
Jun 2004,11.91,193.7
May 2004,10.86,193.3
Apr 2004,10.23,191.9
Mar 2004,10.98,191.5
Feb 2004,11.41,190.1
Jan 2004,11.08,188.5
Dec 2003,11.26,187.0
Nov 2003,11.65,187.1
Oct 2003,10.72,187.8
Sep 2003,10.24,188.2
Aug 2003,12.73,186.9
Jul 2003,13.84,186.3
Jun 2003,13,186.3
May 2003,12.15,186.4
Apr 2003,11.73,187.6
Mar 2003,10.62,188.2
Feb 2003,11.65,186.5
Jan 2003,11.52,185.2
Dec 2002,11.94,183.7
Nov 2002,12.09,184.0
Oct 2002,12.68,183.7
Sep 2002,12.24,183.4
Aug 2002,13.27,183.0
Jul 2002,13.77,182.2
Jun 2002,12.75,181.9
May 2002,12.11,182.6
Apr 2002,10.99,182.2
Mar 2002,11.35,181.1
Feb 2002,11.17,180.1
Jan 2002,11.32,178.9
Dec 2001,11.07,177.1
Nov 2001,11.16,178.1
Oct 2001,12.74,178.3
Sep 2001,13.13,178.8
Aug 2001,13.12,178.4
Jul 2001,13.47,178.3
Jun 2001,11.34,178.9
May 2001,9.82,177.5
Apr 2001,9.88,176.6
Mar 2001,9.89,176.2
Feb 2001,9.63,175.4
Jan 2001,8.71,174.2
